DOB,NO_OF_CHLD,NO_OF_VHCL,GNDR_CD,EDU_DESC,MRRY_DESC,OCPN_DESC,ADDR_PRVC,ADDR_ZIP,SCB_PROD_HLDNG_CNT,SCB_PROD_SUB_GRP_HLDNG_CNT,PROD_GRP_WLTH_HLDNG_CNT,PROD_GRP_LENDING_HLDNG_CNT,PROD_GRP_PYMT_HLDNG_CNT,PROD_GRP_SRVC_HLDNG_CNT,PROD_GRP_BSNS_LENDING_HLDNG_CNT,DPST_ACCT_CNT,DPST_END_BAL,DPST_TXN_CNT,DPST_TXN_CNT_AVG,DPST_TXN_CNT_MIN,DPST_TXN_CNT_MAX,DPST_INFLW_CNT,DPST_INFLW_CNT_MIN,DPST_INFLW_CNT_MAX,DPST_OTFLW_CNT,DPST_OTFLW_CNT_MIN,DPST_OTFLW_CNT_MAX,DPST_INFLW_AMT_TOT,DPST_OTFLW_AMT_TOT,DOB_prev,NO_OF_CHLD_prev,NO_OF_VHCL_prev,GNDR_CD_prev,EDU_DESC_prev,MRRY_DESC_prev,OCPN_DESC_prev,ADDR_PRVC_prev,ADDR_ZIP_prev,SCB_PROD_HLDNG_CNT,SCB_PROD_SUB_GRP_HLDNG_CNT,PROD_GRP_WLTH_HLDNG_CNT,PROD_GRP_LENDING_HLDNG_CNT,PROD_GRP_PYMT_HLDNG_CNT,PROD_GRP_SRVC_HLDNG_CNT,PROD_GRP_BSNS_LENDING_HLDNG_CNT,DPST_ACCT_CNT_prev,DPST_END_BAL_prev,DPST_TXN_CNT_prev,DPST_TXN_CNT_AVG_prev,DPST_TXN_CNT_MIN_prev,DPST_TXN_CNT_MAX_prev,DPST_INFLW_CNT_prev,DPST_INFLW_CNT_MIN_prev,DPST_INFLW_CNT_MAX_prev,DPST_OTFLW_CNT_prev,DPST_OTFLW_CNT_MIN_prev,DPST_OTFLW_CNT_MAX_prev,DPST_INFLW_AMT_TOT_prev,DPST_OTFLW_AMT_TOT_prev,DOB_match,NO_OF_CHLD_match,NO_OF_VHCL_match,GNDR_CD_match,EDU_DESC_match,MRRY_DESC_match,OCPN_DESC_match,ADDR_PRVC_match,ADDR_ZIP_match,cust_id
1/1/2002,0,0,M,high school,single,service business employee,ปราจีนบุรี,25110,3,3,2,null,2,null,null,2,60,6,2,2,2,3,1,1,3,1,1,29485,29425,1/1/2002,0,0,M,high school,single,"student, university student",ปราจีนบุรี,25110,2,2,1,null,1,null,null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1
1/9/2002,0,null,F,null,single,agricultural/ agro industry entrepreneur,นครราชสีมา,30380,3,3,1,null,2,null,null,1,208.24,8,2.67,2,4,4,1,2,4,1,2,1520,1330,1/9/2002,0,null,F,null,single,industrial business employee,นครราชสีมา,30380,3,3,1,null,2,null,null,1,279.56,10,1.67,1,3,4,1,1,6,1,3,3630,4287.87,TRUE,TRUE,null,TRUE,null,TRUE,FALSE,TRUE,TRUE,2
1/6/1981,0,0,F,vocational certificate/ diploma,married,industrial business employee,ปทุมธานี,12000,2,2,2,null,1,null,null,1,261083.52,4,1.33,1,2,0,0,0,4,1,2,0,30346.72,1/6/1981,0,0,F,vocational certificate/ diploma,single,"employee of company, store, office",ปทุมธานี,12000,2,2,1,null,1,null,null,1,429423.97,4,2,2,2,1,1,1,3,1,2,40000,2800.44,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3
1/1/1993,0,0,F,high school,single,service business employee,เชียงใหม่,50300,3,2,2,null,1,null,null,1,0.1,38,3.17,1,12,15,1,6,23,1,6,4454,4454.4,1/1/1993,0,0,F,high school,single,industrial business employee,แม่ฮ่องสอน,58000,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
1/9/1989,0,0,F,high school,single,service business entrepreneur,สมุทรสงคราม,75000,4,4,1,null,3,null,null,1,43.99,125,6.25,1,12,48,1,5,77,1,8,466232,466293.4,1/9/1989,0,0,F,high school,married,housewife/househusband,สมุทรสงคราม,75000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5
1/10/1998,0,0,F,high school,single,commerce employee,ชลบุรี,20190,7,5,9,null,2,1,null,3,10.34,7,1.4,1,2,2,1,1,5,1,1,53000,53000.15,1/10/1998,0,0,F,high school,single,"student, university student",ปทุมธานี,12130,3,3,2,null,2,1,null,2,193479.11,8,2,1,3,3,1,1,5,1,2,3000,2152.67,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,6
1/1/1968,2,0,F,vocational certificate/ diploma,widow,service business employee,พระนครศรีอยุธยา,13110,4,4,1,1,3,null,null,1,1970.03,46,2.42,1,6,16,1,3,30,1,4,21120.27,22405,1/1/1968,2,0,F,vocational certificate/ diploma,widow,unemployed,พระนครศรีอยุธยา,13110,5,5,2,null,2,null,null,1,514.88,19,1.27,1,2,6,1,1,13,1,2,11895,11921,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7
1/9/1995,0,null,F,null,single,commerce employee,กรุงเทพมหานคร,10140,2,2,1,null,1,2,null,1,9750,5,1.25,1,2,1,1,1,4,1,1,22750,16043.97,1/9/1995,0,null,F,null,single,commerce employee,กรุงเทพมหานคร,10260,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,null,TRUE,TRUE,TRUE,FALSE,8
1/6/1997,0,null,M,others,single,industrial business employee,ลำปาง,52220,4,4,2,null,2,1,null,1,0.96,41,3.15,1,9,15,1,2,26,1,7,111273.47,111272.61,1/6/1997,0,null,M,others,single,"student, university student",ลำปาง,52220,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,9
1/6/1978,0,null,F,bachelor's degree,single,nurse,เชียงราย,57160,3,3,1,1,1,null,null,1,380.39,2,2,2,2,1,1,1,1,1,1,18500,18951,1/6/1978,0,null,F,bachelor's degree,married - registered,service business employee,เชียงราย,57290,3,2,1,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,10
