Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,cluster
1.0,0.0,Female,bachelor's degree,married,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,11846.54,70.0,2.69,1.0,6.0,26.0,1.0,4.0,44.0,1.0,4.0,213070.0,241234.75,40.0,Central,Corporate Employee,2282,1
0.0,1.0,Female,bachelor's degree,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.18,164.0,5.66,1.0,11.0,56.0,1.0,5.0,108.0,1.0,9.0,103128.0,113270.0,42.0,Central,Entrepreneur,737,4
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,9000.69,55.0,3.06,1.0,8.0,9.0,1.0,2.0,46.0,1.0,6.0,15433.0,16961.0,31.0,Southern,Student,3418,6
1.0,1.0,Male,bachelor's degree,married,5.0,5.0,1.0,2.0,3.0,0.0,0.0,1.0,245.18,34.0,2.0,1.0,4.0,14.0,1.0,2.0,20.0,1.0,2.0,40900.0,41606.0,52.0,Central,Corporate Employee,1781,1
0.0,1.0,Male,bachelor's degree,married - registered,11.0,8.0,10.0,3.0,5.0,1.0,0.0,3.0,224275.37,38.0,2.24,1.0,9.0,12.0,1.0,3.0,26.0,1.0,7.0,428982.51,363477.2,53.0,Central,Corporate Employee,3419,1
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,31.0,Central,Corporate Employee,1906,0
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,8338.25,53.0,2.65,1.0,6.0,10.0,1.0,2.0,43.0,1.0,5.0,39161.25,36241.97,37.0,Northern,Corporate Employee,1992,1
0.0,0.0,Male,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,45.0,Central,Freelancer,1158,9
0.0,1.0,Male,high school,single,6.0,5.0,4.0,1.0,2.0,0.0,0.0,2.0,145245.85,14.0,1.4,1.0,3.0,4.0,1.0,2.0,10.0,1.0,2.0,216700.0,74920.0,49.0,Eastern,Entrepreneur,965,5
0.0,,Female,others,divorce,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,60.0,Northern,Unemployed,691,3
